position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,887.3491202395074,0.95,16.892167606566264,133581.0176660551,20352.848886720134,838.5157437174357,0,0,19039.412690986876,172973.2792437621,4.0,0.104,1387.15,10.171240505622626,0.3,376.93722536761,2079.0,4.6075719490470455,773.15,0.8690296257979013,9.4908456722674e-06,-0.0015995807312810225,0.005933333333333333,0.44221099846119594,0.13947411254218742,25.04676111501972,1.3589999999999989,10.271028956630577,3849.3256816079233
10.0,887.3264264427698,0.95,16.899050906019472,133667.83537451486,20367.629663161835,838.5018743179063,0,0,19053.251436893457,173088.71647457016,4.003009191260695,0.10409490845672267,1387.1340041926874,10.163594455719277,0.3,377.21684931230993,2079.0,4.604108288440829,773.15,0.8690525022789701,9.497179580875844e-06,-0.001600648243967839,0.005933333333333333,0.44217347081583513,0.13947411254218742,25.04676111501972,1.3589999999999989,10.297760121810617,3849.3256816079233
20.0,887.3037279689206,0.95,16.9059444968527,133754.78720768975,20382.433129039146,838.488003202066,0,0,19067.111697325417,173204.33203405433,4.006023068420438,0.10418988025253144,1387.1179977102477,10.155948013183172,0.3,377.4968995828365,2079.0,4.600644449971973,773.15,0.8690753805370212,9.503523274174454e-06,-0.0016017174057597395,0.005933333333333333,0.44213593759392317,0.13947411254218742,25.04676111501972,1.3589999999999989,10.32455429631681,3849.3256816079233
30.0,887.2810248116793,0.95,16.91284840289245,133841.87348649802,20397.2593384622,838.4741303670851,0,0,19080.99352396987,173320.1263489301,4.009041642745869,0.10428491548527319,1387.10198053619,10.148301177192213,0.3,377.77737718333316,2079.0,4.597180433268068,773.15,0.8690982605746228,9.509876775576615e-06,-0.0016027882206028005,0.005933333333333333,0.4420983987856643,0.13947411254218742,25.04676111501972,1.3589999999999989,10.351411633305784,3849.3256816079233
40.0,887.2583169647521,0.95,16.919762648040372,133929.0945328976,20412.10834571606,838.4602558101275,0,0,19094.896968681864,173436.09984729553,4.0120649255402565,0.10438001425302895,1387.085952653984,10.140653946922843,0.3,378.05828312115034,2079.0,4.593716237956044,773.15,0.8691211423943481,9.516240108571582e-06,-0.0016038606924558847,0.005933333333333333,0.4420608543812413,0.13947411254218742,25.04676111501972,1.3589999999999989,10.378332286383182,3849.3256816079233
50.0,887.2356044218302,0.95,16.92668725627373,134016.45066989106,20426.980205261607,838.4463795283511,0,0,19108.822083485276,173552.25295863795,4.015092928143689,0.10447517665411467,1387.0699140470592,10.13300632154995,0.3,378.339618406862,2079.0,4.5902518636621235,773.15,0.8691440259987754,9.522613296724828e-06,-0.0016049348252907016,0.005933333333333333,0.4420233043708132,0.13947411254218742,25.04676111501972,1.3589999999999989,10.405316409605321,3849.3256816079233
60.0,887.2128871765913,0.95,16.933622251645726,134103.94222152978,20441.8749717362,838.4325015189071,0,0,19122.76892057337,173668.58611383935,4.018125661933206,0.10457040278708192,1387.0538646988064,10.12535830024691,0.3,378.6213840542768,2079.0,4.586787310011847,773.15,0.8691669113904872,9.528996363678358e-06,-0.0016060106230918582,0.005933333333333333,0.44198574874451724,0.13947411254218742,25.04676111501972,1.3589999999999989,10.432364157480846,3849.3256816079233
70.0,887.1901652226985,0.95,16.940567658285545,134191.5695129183,20456.792699954396,838.4186217789406,0,0,19136.737532309573,173785.09974518226,4.021163138322956,0.1046656927507187,1387.0378045925754,10.117709882185567,0.3,378.90358108045183,2079.0,4.583322576630058,773.15,0.8691897985720711,9.535389333151016e-06,-0.001607088089856913,0.005933333333333333,0.4419481874924679,0.13947411254218742,25.04676111501972,1.3589999999999989,10.459475684972412,3849.3256816079233
80.0,887.0411724914995,0.95,17.0216481941456,134966.0421867258,20588.144947666955,838.3188700380431,0,0,19256.594509908195,174810.78164430097,4.047088814157306,0.10476104664405021,1387.021733711677,10.052895770453217,0.3,379.1862105057041,2079.0,4.5539617840153035,773.15,0.8693837729839701,9.591667323924698e-06,-0.0016165731444816906,0.005933333333333333,0.44170873926210413,0.13868361801737417,25.04676111501972,1.3589999999999989,10.486651147498357,3827.64938917175
90.0,885.692566765824,0.95,17.858836969008223,142748.36577755475,21907.63651168319,837.4053843741224,0,0,20456.95156946922,185112.95385870716,4.306579625886311,0.10485696331728946,1387.0055679802322,9.447163539700577,0.3,379.4707535682159,2079.0,4.279565083484358,773.15,0.8711986906493079,1.0156935711062455e-05,-0.0017118430973700768,0.005933333333333333,0.4395566368745217,0.13041208381315256,25.04676111501972,1.3589999999999989,10.514033203039691,3600.6932724734093
100.0,884.4601278699746,0.95,18.716397589043094,150726.16742139382,23260.545129286118,836.574129062714,0,0,21687.703836514123,195674.41638719407,4.572660463606169,0.10495853267440008,1386.9884495492586,8.89743779279095,0.3,379.77233443261514,2079.0,4.030539320134296,773.15,0.8728490788997757,1.0736431060688367e-05,-0.0018095108529250056,0.005933333333333333,0.437598278575439,0.12291652299436762,25.04676111501972,1.3589999999999989,10.54307952872085,3394.815289486222
110.0,884.436695566736,0.95,18.725417301826315,150838.88285537288,23279.72046696044,836.5600516546903,0,0,21705.660137652685,195824.263459986,4.57656494679108,0.10506589698500697,1386.9703544407294,8.889846969399464,0.3,380.0914226002807,2079.0,4.0271006771379545,773.15,0.8728718899622704,1.0744652997906225e-05,-0.0018108965726808244,0.005933333333333333,0.43755976884418496,0.12291652299436762,25.04676111501972,1.3589999999999989,10.573839652505491,3394.815289486222
