position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,871.3763505025117,0.95,14.18026230981986,124219.48685281396,32162.23446168914,827.9143943798189,0,0,18669.306083732157,175051.02739823528,4.0,0.104,1387.15,5.075916518522297,0.3,376.93722536761,2079.0,1.4550960686430574,773.15,0.8901019735654983,4.806091341205715e-05,-0.00810015394585233,0.005933333333333333,0.7071901297207964,0.11029821138146909,5.0055304761321135,0.8599999999999993,10.271028956630577,1928.7082864849958
10.0,871.3206927029249,0.95,14.217974627539425,124668.36156740884,32282.4435216852,827.8850879926065,0,0,18740.529572066014,175691.33466116004,4.015480076403211,0.10448060913412056,1387.0689984605415,5.05634835381273,0.3,378.3556861193906,2079.0,1.4494865280929814,773.15,0.8901399216540732,4.82367121627296e-05,-0.008129782948774653,0.005933333333333333,0.7070406516341334,0.11029821138146909,5.0055304761321135,0.8599999999999993,10.406858209110467,1928.7082864849958
20.0,871.2649334247233,0.95,14.255981814341384,125120.95581981765,32403.644501701037,827.855739320379,0,0,18812.34767181677,176336.94799333546,4.031089581149551,0.10496297625574787,1386.9877006310537,5.03676876074264,0.3,379.78553467970283,2079.0,1.4438737114128888,773.15,0.8901778935246772,4.841396771453373e-05,-0.008159657479977595,0.005933333333333333,0.7068908957683914,0.11029821138146909,5.0055304761321135,0.8599999999999993,10.544351471115009,1928.7082864849958
30.0,871.2090718663022,0.95,14.29428755082005,125577.317775356,32525.850219190103,827.8263480230727,0,0,18884.768117199328,176987.93611174542,4.046830199199828,0.1054471159328932,1386.906104056254,5.017177661198583,0.3,381.22691362111294,2079.0,1.4382575962102593,773.15,0.8902158893317156,4.859269893397411e-05,-0.00818978071920912,0.005933333333333333,0.7067408598419302,0.11029821138146909,5.0055304761321135,0.8599999999999993,10.683530345561875,1928.7082864849958
40.0,871.153107216033,0.95,14.33289558079104,126037.49644877508,32649.07371733504,827.7969137564182,0,0,18957.79877925755,177644.36894536766,4.062703645342441,0.10593304292223295,1386.824206249062,4.997574976300743,0.3,382.67996795602653,2079.0,1.4326381598728783,773.15,0.8902539092311077,4.8772925020312796e-05,-0.00822015590229991,0.005933333333333333,0.7065905415443474,0.11029821138146909,5.0055304761321135,0.8599999999999993,10.824416778237444,1928.7082864849958
50.0,871.0970386520911,0.95,14.37180971267673,126501.5417232562,32773.328270089725,827.7674361718687,0,0,19031.44766893115,178306.31766227708,4.078711664862243,0.10642077217243608,1386.742004690039,4.977960626391799,0.3,384.14484518980447,2079.0,1.427015379565648,773.15,0.8902919533803092,4.895466551301056e-05,-0.00825078632241751,0.005933333333333333,0.7064399385359807,0.11029821138146909,5.0055304761321135,0.8599999999999993,10.96703306466268,1928.7082864849958
60.0,871.0408653422775,0.95,14.411033820928731,126969.50436992344,32898.62738735921,827.7379149165253,0,0,19105.72294020658,178973.85469748924,4.09485603422775,0.10691031882756619,1386.6594968268148,4.958334531025403,0.3,385.62169537529826,2079.0,1.421389232227281,773.15,0.8903300219383342,4.913794029937149e-05,-0.008281675331354746,0.005933333333333333,0.7062890484473962,0.11029821138146909,5.0055304761321135,0.8599999999999993,11.11140185712692,1928.7082864849958
70.0,871.7554340952681,0.95,13.212669592731093,115891.88158663877,29925.968127525688,828.2075850427271,0,0,17396.9823646533,163214.83207881774,3.725355279875268,0.1074016982305599,1386.5766800735012,5.450128792754768,0.3,387.1106711688207,2079.0,1.562370253923032,773.15,0.8893765835784031,4.481124177727955e-05,-0.007552456479316778,0.005933333333333333,0.7079840008399682,0.12167381366036262,5.0055304761321135,0.8599999999999993,11.257546171894422,2126.689176455328
80.0,872.9860152849487,0.95,11.611725601732745,101032.38924549606,25938.917728862936,829.01348459904,0,0,15103.746155305944,142075.05312966494,3.2294220985050393,0.10784981064833268,1386.501155508708,6.287089595221429,0.3,388.4743297250069,2079.0,1.8022990172968085,773.15,0.8877563198878092,3.900723650678261e-05,-0.006574253343839766,0.005933333333333333,0.7109262204637601,0.1408307182628104,5.0055304761321135,0.8599999999999993,11.391904975277468,2459.460651685346
90.0,873.4381902630031,0.95,11.106374043311723,96378.23157814742,24690.169240553063,829.3136677701614,0,0,14386.21887019232,135454.6196888928,3.074281138800482,0.10823988301340051,1386.4354129752696,6.6043621768473795,0.3,389.66588307290226,2079.0,1.8932504906962473,773.15,0.887142887059806,3.718957177738128e-05,-0.006267905355738419,0.005933333333333333,0.7120028934233639,0.1484032106816182,5.0055304761321135,0.8599999999999993,11.509705334484602,2590.7590641944835
100.0,873.300757659526,0.95,11.217205859669612,97474.24767119435,24984.11545057167,829.2293893496261,0,0,14556.691947367037,137015.05506913306,3.111199640295428,0.10861177873117432,1386.3727339217123,6.525992678554447,0.3,390.8058440038674,2079.0,1.8707845678522732,773.15,0.887294371667513,3.7617995139468865e-05,-0.006340111540359922,0.005933333333333333,0.7116589696900468,0.1470802012922409,5.0055304761321135,0.8599999999999993,11.622750128159664,2567.830082838245
110.0,872.8878539049117,0.95,11.627209951779687,101369.90965097095,26029.138109771033,828.9657765710236,0,0,15159.671543797464,142558.71930453944,3.241668445917152,0.10898795868256901,1386.3093328063087,6.263338281760878,0.3,391.9628572228297,2079.0,1.7954903074381168,773.15,0.8878022590879642,3.9140028861654665e-05,-0.006596634077806966,0.005933333333333333,0.7106515529051032,0.1415882911887113,5.0055304761321135,0.8599999999999993,11.737828000173108,2472.6025784135772
120.0,872.5609152162083,0.95,11.968511131654891,104630.06474488527,26903.65440741769,828.7585881915231,0,0,15664.626370354325,147198.34552265727,3.350941200497487,0.10937935897118556,1386.2433664655307,6.059093508138809,0.3,393.1708849405099,2079.0,1.7369401389997905,773.15,0.8881974023828809,4.041385556948648e-05,-0.0068113239723853625,0.005933333333333333,0.7098517204420582,0.13740677004320012,5.0055304761321135,0.8599999999999993,11.858344468665209,2400.0465284904662
130.0,872.5092426259683,0.95,11.994769321815697,104946.62433028908,26988.446175711382,828.7307085556165,0,0,15714.924236582596,147649.99474258305,3.361875798722228,0.10978349752688042,1386.175253225807,6.039386131339578,0.3,394.42274286435986,2079.0,1.731290690984011,773.15,0.8882355386719804,4.05378575497896e-05,-0.006832223182548809,0.005933333333333333,0.7097138636803143,0.13740677004320015,5.0055304761321135,0.8599999999999993,11.983623154299423,2400.0465284904667
140.0,872.4574970933946,0.95,12.021199679393197,105265.38058039162,27073.823691862373,828.7027985885378,0,0,15765.57371436764,148104.77798662163,3.3728869502054843,0.11018887610237832,1386.1069309939815,6.019669907066479,0.3,395.68306901502865,2079.0,1.7256387066923893,773.15,0.8882736937206209,4.066271998811889e-05,-0.006853267413727904,0.005933333333333333,0.709575810986551,0.13740677004320015,5.0055304761321135,0.8599999999999993,12.11014624501714,2400.0465284904667
150.0,872.4056781406429,0.95,12.047803997940099,105586.3572491262,27159.79327565205,828.6748580862205,0,0,15816.578623070023,148562.7291478483,3.3839754872335517,0.1105955033022595,1386.0383983198442,5.999944784082265,0.3,396.9519525067799,2079.0,1.7199841714369146,773.15,0.8883118676302411,4.0788452189944793e-05,-0.006874458234260359,0.005933333333333333,0.7094375610079188,0.13740677004320015,5.0055304761321135,0.8599999999999993,12.237927073540988,2400.0465284904667
160.0,872.3537820841636,0.95,12.07458796954255,105909.61477272765,27246.37108658093,828.646884761221,0,0,15867.948453209305,149023.9343125179,3.3951434689331013,0.11100338782415896,1385.9696537375016,5.980208571412584,0.3,398.22948373300346,2079.0,1.7143264571382728,773.15,0.8883500646435838,4.0915077790570105e-05,-0.006895799627624176,0.005933333333333333,0.7092991046856224,0.13740672095895654,5.0055304761321135,0.8599999999999993,12.36697914879852,2400.0456765518993
170.0,872.2987135691029,0.95,12.105321752072717,106270.55259826766,27343.05341665431,828.616866107644,0,0,15925.154357673704,149538.7603725957,3.4075743987643983,0.11141253860206465,1385.9006957412255,5.958392597811332,0.3,399.51575483655756,2079.0,1.7080725447059137,773.15,0.8883922886897279,4.1056425208311216e-05,-0.006919622226119869,0.005933333333333333,0.7091530046503298,0.13735900713102306,5.0055304761321135,0.8599999999999993,12.497316204227918,2399.2175210900377
180.0,871.8338381612249,0.95,12.662360997686587,111576.13453311972,28766.19238482226,828.3206028844053,0,0,16746.64112559225,157088.96804353423,3.5853351830654927,0.11182310285414776,1385.8314995189644,5.662975715628735,0.3,400.8112961643518,2079.0,1.6233863718135695,773.15,0.8889642552595579,4.3129362925440466e-05,-0.0072689937514787304,0.005933333333333333,0.7080231235769139,0.13099597282420722,5.0055304761321135,0.8599999999999993,12.62899662867771,2288.7279394117427
190.0,871.3705072400837,0.95,13.275112169600531,117416.46467113314,30332.76486799836,828.0260171447793,0,0,17651.017122875204,165400.2466620067,3.7810368462176878,0.11225439648340216,1385.7588095814497,5.369867287699062,0.3,402.17747930345325,2079.0,1.5393619558070633,773.15,0.8895321162924201,4.541125551392072e-05,-0.007653582389986639,0.005933333333333333,0.7068980134068198,0.12467010765372387,5.0055304761321135,0.8599999999999993,12.7682921943064,2178.791909003686
200.0,871.316120817353,0.95,13.308674987250756,117820.79879164642,30441.01498040737,827.9971084674961,0,0,17715.26507048514,165977.07884253893,3.795004554724321,0.11270850903854136,1385.6822737575499,5.350103216296167,0.3,403.6217623028146,2079.0,1.5336962553382332,773.15,0.8895704197682902,4.556962694363406e-05,-0.0076802742039832695,0.005933333333333333,0.7067524671971982,0.12467010765372387,5.0055304761321135,0.8599999999999993,12.91603152531398,2178.791909003686
210.0,871.2616424878235,0.95,13.342487877427212,118228.32372274795,30550.115704247717,827.9681614562166,0,0,17780.023790906936,166558.4632179026,3.809083471087412,0.1131642053079777,1385.60547101551,5.3303284709308105,0.3,405.077109207083,2079.0,1.5280274950001644,773.15,0.8896087455813744,4.5729248195441455e-05,-0.007707176662153055,0.005933333333333333,0.7066066709156077,0.12467010765372387,5.0055304761321135,0.8599999999999993,13.065397191627913,2178.791909003686
220.0,871.2070715638323,0.95,13.37655380734333,118639.07875211026,30660.077490249492,827.9391758185948,0,0,17845.299601289666,167144.45584364943,3.8232749719035777,0.11362149778993212,1385.5283992488885,5.310542982991401,0.3,406.543652107468,2079.0,1.5223556551242003,773.15,0.8896470938674034,4.5890134659604e-05,-0.0077342923583602246,0.005933333333333333,0.7064606226080146,0.12467010765372387,5.0055304761321135,0.8599999999999993,13.216408784837828,2178.791909003686
230.0,871.1524073495398,0.95,13.410875792635002,119053.10382582022,30770.910964033385,827.9101512588459,0,0,17911.09892498442,167735.11371483802,3.8375804569266196,0.11408039913652816,1385.451056325305,5.290746683223852,0.3,408.02152524910144,2079.0,1.516680715857503,773.15,0.8896854647633783,4.605230198432791e-05,-0.007761623929942907,0.005933333333333333,0.7063143202969521,0.12467010765372387,5.0055304761321135,0.8599999999999993,13.369086190096642,2178.791909003686
240.0,871.0962140143703,0.95,13.44766999541957,119491.31887507494,30888.227699904673,827.8801571974054,0,0,17980.657338869212,168360.20391384882,3.8526999356612746,0.11454092215637145,1385.3734400860055,5.269983755068712,0.3,409.5108650756868,2079.0,1.5107286764530297,773.15,0.889725711040025,4.622392283326493e-05,-0.007790548792123304,0.005933333333333333,0.7061643279340313,0.12464759573511554,5.0055304761321135,0.8599999999999993,13.52344959168609,2178.400520270982
