flow_id,Effusion_rate,Depth,Width_init,X_init,Y_init,Elevation_init,X_run_out,Y_run_out,Elevation_run_out,Distance_run_out
369000_7647036,5.0,0.8599999999999993,4.015480076403211,368981.59,7647075.28,1739.0,374590.9,7646998.23,203.7,5649.0
369000_7647036,10.0,1.082999999999999,4.0075116040191,368981.59,7647075.28,1739.0,375758.0,7646556.96,29.1,6928.0
369000_7647036,15.0,1.238999999999999,4.0049675388687325,368981.59,7647075.28,1739.0,375758.0,7646556.96,29.1,6928.0
369000_7647036,20.0,1.3639999999999988,4.0037125937838445,368981.59,7647075.28,1739.0,375758.0,7646556.96,29.1,6928.0
369000_7647036,25.0,1.4689999999999988,4.002973101814027,368981.59,7647075.28,1739.0,375758.0,7646556.96,29.1,6928.0
369000_7647036,30.0,1.5609999999999986,4.002482886930946,368981.59,7647075.28,1739.0,375758.0,7646556.96,29.1,6928.0
