x	y	z	L	slope
369717.538973	7647114.581844	1623.646915	739.864904	10.448321
369727.538973	7647114.581539	1621.802908	749.864904	10.448321
369737.538973	7647114.581234	1619.958901	759.864904	10.873873
369747.523110	7647114.930960	1617.962959	769.855164	11.955839
369757.482090	7647115.835789	1615.726069	779.855164	12.609239
369767.441070	7647116.740618	1613.489179	789.855164	12.609239
369777.400050	7647117.645448	1611.252289	799.855164	12.623875
369787.350200	7647118.637761	1609.010145	809.854672	12.656437
369797.289119	7647119.741344	1606.761318	819.854672	12.674361
369807.228037	7647120.844927	1604.512491	829.854672	12.674361
369817.166956	7647121.948510	1602.263664	839.854672	12.674361
369827.105875	7647123.052093	1600.014837	849.854672	12.664084
369837.080681	7647123.507387	1597.773106	859.839864	12.631119
369847.080681	7647123.507570	1595.536356	869.839864	12.608476
369857.080681	7647123.507753	1593.299605	879.839864	12.608476
369867.080681	7647123.507936	1591.062855	889.839864	12.608475
369877.080681	7647123.508136	1588.826106	899.839864	12.608474
369887.080681	7647123.508351	1586.589356	909.839864	12.608473
369897.080681	7647123.508567	1584.352607	919.839864	12.608473
369907.080681	7647123.508782	1582.115857	929.839864	12.312020
369917.005674	7647124.303892	1579.997069	939.796655	11.549289
369926.829208	7647126.174237	1578.037844	949.796655	11.085446
369936.652742	7647128.044581	1576.078619	959.796655	11.085446
369946.476275	7647129.914925	1574.119394	969.796655	11.085446
369956.299809	7647131.785270	1572.160169	979.796655	11.827260
369966.154411	7647133.475010	1569.931703	989.795075	13.253720
369976.038242	7647134.994843	1567.449940	999.795075	13.938268
369985.922072	7647136.514675	1564.968177	1009.795075	13.938268
369995.805903	7647138.034508	1562.486414	1019.795075	13.938268
370005.689734	7647139.554340	1560.004651	1029.795075	13.938268
370015.573564	7647141.074173	1557.522888	1039.795075	13.938268
370025.457395	7647142.594005	1555.041125	1049.795075	15.441739
370035.413438	7647142.914785	1552.009178	1059.756284	17.671083
370045.408231	7647142.592126	1548.681989	1069.756284	18.415569
370055.402631	7647142.257694	1545.350239	1079.756278	18.437758
370065.396682	7647141.912827	1542.014446	1089.756278	18.415374
370075.390731	7647141.567879	1538.691375	1099.756278	18.290317
370085.384772	7647141.222707	1535.404037	1109.756278	18.197977
370095.378813	7647140.877536	1532.116699	1119.756278	18.197977
370105.372854	7647140.532364	1528.829362	1129.756278	18.197977
370115.366895	7647140.187192	1525.542024	1139.756278	18.197977
370125.360936	7647139.842020	1522.254687	1149.756278	18.197977
370135.354977	7647139.496848	1518.967349	1159.756278	18.233807
370145.349860	7647139.177622	1515.666157	1169.756258	18.291494
370155.345258	7647138.874266	1512.356491	1179.756258	18.313360
370165.340656	7647138.570910	1509.046825	1189.756258	18.313360
370175.336053	7647138.267555	1505.737159	1199.756258	18.313360
370185.331451	7647137.964199	1502.427493	1209.756258	18.313360
370195.326849	7647137.660843	1499.117826	1219.756258	18.448699
370205.315259	7647137.742715	1495.759458	1229.745003	18.764117
370215.293079	7647138.408377	1492.327284	1239.745003	18.943670
370225.270899	7647139.074039	1488.895110	1249.745003	18.967463
370235.251436	7647139.697028	1485.453665	1259.744965	19.001042
370245.233098	7647140.302361	1482.008383	1269.744965	19.759340
