position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,882.7345277635274,0.95,16.093470734491426,130823.90612999281,20278.24166939345,835.3981512237527,0,0,18930.573566466603,170032.72136585286,4.0,0.104,1387.15,8.074592689060896,0.3,376.93722536761,2079.0,3.6712481426263506,773.15,0.8752357489503009,1.1665997273597415e-05,-0.0019661793157748453,0.005933333333333333,0.433099929666525,0.11029821138146909,20.03032986616935,1.3639999999999988,10.271028956630577,3059.0210497273656
10.0,882.7106399386249,0.95,16.102119990182597,130931.15657764934,20296.412925911438,835.3839728198635,0,0,18947.64850334547,170175.21800690625,4.0037125937838445,0.10411665997273598,1387.1303382068425,8.067105217889505,0.3,377.28096841684385,2079.0,3.6678438390670918,773.15,0.8752583939613761,1.1675774011937377e-05,-0.001967827080663603,0.005933333333333333,0.43306094604968265,0.11029821138146909,20.03032986616935,1.3639999999999988,10.303892836495848,3059.0210497273656
20.0,882.6867453469283,0.95,16.11078525659936,131038.6136971632,20314.61899112528,835.3697917687025,0,0,18964.75655881303,170317.9892471015,4.007432399563897,0.10423341771285535,1387.1106599360357,8.059617115377517,0.3,377.6253618965273,2079.0,3.664439248458308,773.15,0.875281041467839,1.1685569590608863e-05,-0.0019694780208891344,0.005933333333333333,0.4330219535233281,0.11029821138146909,20.03032986616935,1.3639999999999988,10.336852534347571,3059.0210497273656
30.0,882.6628439767466,0.95,16.119466579999564,131146.27810638864,20332.85996879168,835.355608065046,0,0,18981.89783229442,170461.03590747475,4.011159439009185,0.10435027340876143,1387.0909651558268,8.052128380172729,0.3,377.9704077117105,2079.0,3.6610343701851975,773.15,0.875303691473943,1.1695384065943413e-05,-0.001971132145945519,0.005933333333333333,0.432982952069007,0.11029821138146909,20.03032986616935,1.3639999999999988,10.36990834031198,3059.0210497273656
40.0,882.638935816356,0.95,16.12816400682369,131254.1504256851,20351.135963087207,835.3414217036556,0,0,18999.072423619105,170604.3588123914,4.0148937338769075,0.10446722724942087,1387.0712538343673,8.044639010919788,0.3,378.3161077750266,2079.0,3.657629203631527,773.15,0.8753263439839511,1.1705217494500992e-05,-0.0019727894653653356,0.005933333333333333,0.43294394166821276,0.11029821138146909,20.03032986616935,1.3639999999999988,10.403060545578073,3059.0210497273656
50.0,882.6150208539991,0.95,16.136877583695767,131362.231277928,20369.447078610283,835.3272326792784,0,0,19016.28043302277,170747.95878956103,4.018635306012853,0.10458427942436588,1387.0515259397137,8.037149006260256,0.3,378.66246400672674,2079.0,3.6542237481796596,773.15,0.8753489990021366,1.1715069933071006e-05,-0.0019744499887198327,0.005933333333333333,0.4329049223023844,0.11029821138146909,20.03032986616935,1.3639999999999988,10.436309442402493,3059.0210497273656
60.0,882.591099077886,0.95,16.14560735742438,131470.52128852258,20387.793420383296,835.3130409866467,0,0,19033.521961149385,170891.83667005526,4.022384177351848,0.10470143012369659,1387.0317814398265,8.029658364832605,0.3,379.00947833471736,2079.0,3.6508180032105546,773.15,0.8753716565327819,1.1724941438673536e-05,-0.0019761137256191354,0.005933333333333333,0.4328658939529093,0.11029821138146909,20.03032986616935,1.3639999999999988,10.469655324114456,3059.0210497273656
70.0,884.4350136574374,0.95,14.936577842994787,120285.30201290366,18497.578776993163,836.5549392406123,0,0,17308.97983654083,156091.86062643764,3.649574127305318,0.10481867953808333,1387.0120203025704,8.849901284260596,0.3,379.35715269460405,2079.0,4.023755117243814,773.15,0.8728940841078533,1.0709510533449995e-05,-0.0018049736854129207,0.005933333333333333,0.43576632619023997,0.12167381366036262,20.03032986616935,1.3639999999999988,10.503098485120704,3373.027949633799
80.0,887.5104703771839,0.95,13.337703952413033,105487.30072271435,15997.77190591138,838.6409325524697,0,0,15027.710192198132,136512.78282082386,3.156454794757688,0.10492577464341783,1386.9939705657162,10.232483230833989,0.3,379.6750387046327,2079.0,4.652369042285849,773.15,0.8687338081485644,9.366183987447229e-06,-0.0015785703349630162,0.005933333333333333,0.44064550544716435,0.1408307182628104,20.03032986616935,1.3639999999999988,10.533705857665812,3900.8189870916417
90.0,888.6968113274222,0.95,12.822489217379857,100731.78261042004,15194.76982530736,839.4518495442014,0,0,14294.986181878126,130221.53861760552,2.998094845452189,0.1050194364832923,1386.9781848623666,10.772964973151861,0.3,379.953303394819,2079.0,4.898108074459709,773.15,0.8671128605543155,8.934539789008726e-06,-0.0015058213127542798,0.005933333333333333,0.4425405318417154,0.1484032106816182,20.03032986616935,1.3639999999999988,10.560521470266936,4109.064376234041
