x	y	z	L	slope
370177.320341	7647109.099114	1505.039601	1109.900098	17.853488
370187.314782	7647108.765729	1501.818753	1119.900098	17.93783
370197.306229	7647108.653005	1498.567959	1129.892181	18.267394
370207.287942	7647109.257482	1495.219832	1139.892181	18.511746
370217.269656	7647109.861959	1491.871705	1149.892181	18.511746
370227.25137	7647110.466436	1488.523578	1159.892181	18.526491
370237.244791	7647110.819942	1485.169837	1169.891853	18.542453
370247.239429	7647111.147366	1481.815512	1179.891853	18.543672
370257.234068	7647111.47479	1478.461187	1189.891853	19.223788
370266.554049	7647113.465678	1475.005482	1199.422104	20.237592
370273.953176	7647120.192707	1471.261133	1209.422104	20.528261
370281.352303	7647126.919736	1467.516784	1219.422104	20.528261
370288.75143	7647133.646765	1463.772435	1229.422104	20.528261
370296.150557	7647140.373794	1460.028086	1239.422104	20.528261
370303.549684	7647147.100823	1456.283736	1249.422104	20.528261
370310.948811	7647153.827852	1452.539387	1259.422104	21.236431
370318.614592	7647160.142501	1448.5384	1269.35382	25.631326
370328.411028	7647160.336034	1443.073377	1279.152168	28.911952
370338.376446	7647159.505104	1437.60412	1289.152168	28.67623
370348.341864	7647158.674174	1432.134862	1299.152168	28.67623
370358.307282	7647157.843244	1426.665605	1309.152168	28.67623
370368.2727	7647157.012314	1421.196347	1319.152168	28.67623
370378.238118	7647156.181383	1415.72709	1329.152168	28.67623
370388.203536	7647155.350453	1410.257833	1339.152168	28.67623
370398.168954	7647154.519523	1404.788575	1349.152168	28.56342
370408.131559	7647153.657921	1399.370531	1359.151961	27.95255
370418.081882	7647152.662394	1394.176102	1369.151961	27.450112
370428.032205	7647151.666868	1388.981672	1379.151961	27.450112
370437.982528	7647150.671342	1383.787243	1389.151961	27.450112
370447.932851	7647149.675816	1378.592813	1399.151961	27.450112
370457.883174	7647148.68029	1373.398384	1409.151961	27.450112
370467.833497	7647147.684763	1368.203954	1419.151961	27.413233
370477.784045	7647146.691899	1363.025887	1429.15192	22.978585
370487.760369	7647146.004175	1359.723575	1439.15192	18.273244
370497.737068	7647145.321987	1356.422089	1449.151915	18.264439
370507.714941	7647144.65712	1353.123186	1459.151915	18.306979
370517.69767	7647144.138307	1349.806484	1469.148117	18.516161
370527.69767	7647144.138879	1346.42649	1479.148117	18.675776
370537.69767	7647144.139451	1343.046495	1489.148117	18.675776
370547.69767	7647144.140023	1339.666501	1499.148117	18.675776
370557.69767	7647144.140596	1336.286506	1509.148117	18.675776
370567.69767	7647144.141168	1332.906512	1519.148117	18.675776
370577.69767	7647144.14174	1329.526517	1529.148117	18.675776
370587.69767	7647144.142306	1326.097186	1539.148117	18.675776
370597.69767	7647144.142861	1322.569213	1549.148117	18.675776
370607.69767	7647144.143416	1319.04124	1559.148117	18.675776
370617.69767	7647144.143971	1315.513267	1569.148117	18.675776
370627.69767	7647144.144526	1311.985294	1579.148117	18.675776
370637.69767	7647144.145081	1308.457322	1589.148117	18.675776
370647.69767	7647144.145636	1304.929349	1599.148117	18.675776
370657.69767	7647144.145761	1301.321855	1609.148117	18.675776
370667.69767	7647144.145354	1297.615805	1619.148117	18.675776
370677.69767	7647144.144947	1293.909754	1629.148117	18.675776
370687.69767	7647144.14454	1290.203704	1639.148117	18.675776
370697.689127	7647143.879293	1286.514136	1649.143095	18.675776
370707.668366	7647143.235243	1282.848144	1659.143095	18.675776
370717.647604	7647142.591193	1279.182151	1669.143095	18.675776
370727.626843	7647141.947143	1275.516159	1679.143095	18.675776
370737.606081	7647141.303093	1271.850167	1689.143095	18.675776
370747.585319	7647140.659043	1268.184175	1699.143095	18.675776
370757.564558	7647140.014993	1264.518183	1709.143095	18.675776
370767.544446	7647139.381167	1260.912056	1719.14309	18.675776
370777.524957	7647138.757144	1257.363343	1729.14309	18.675776
370787.505467	7647138.133122	1253.81463	1739.14309	18.675776
370797.485978	7647137.5091	1250.265917	1749.14309	18.675776
370807.466489	7647136.885078	1246.717204	1759.14309	18.675776
370817.447	7647136.261055	1243.16849	1769.14309	18.675776
370827.424942	7647136.218899	1239.76395	1779.12112	18.675776
370837.399553	7647136.931032	1236.546307	1789.12112	18.675776
370847.374164	7647137.643166	1233.328663	1799.12112	18.675776
370857.353559	7647138.281803	1230.099169	1809.12093	18.675776
370867.336319	7647138.868743	1226.86134	1819.12093	18.675776
370877.306345	7647139.562956	1223.576107	1829.115096	18.675776
370887.149084	7647141.329447	1219.817021	1839.115096	18.675776
370896.991823	7647143.095939	1216.057935	1849.115096	18.675776
370906.834562	7647144.86243	1212.298849	1859.115096	18.675776
370916.677301	7647146.628921	1208.539764	1869.115096	18.675776
370926.520039	7647148.395413	1204.780678	1879.115096	18.675776
370936.362778	7647150.161904	1201.021592	1889.115096	18.675776
370946.200808	7647151.954294	1196.966473	1899.11507	18.675776
370956.035371	7647153.765749	1192.693438	1909.11507	18.675776
370965.869934	7647155.577204	1188.420404	1919.11507	18.675776
370975.704497	7647157.388658	1184.14737	1929.11507	18.675776
370985.539061	7647159.200113	1179.874335	1939.11507	18.675776
370995.373624	7647161.011567	1175.601301	1949.11507	18.675776
371005.208187	7647162.823022	1171.328267	1959.11507	18.675776
371015.071421	7647164.32054	1167.017245	1969.09134	18.675776
371025.071421	7647164.32054	1162.525016	1979.09134	18.675776
371035.069306	7647164.472949	1158.079135	1989.090386	18.675776
371045.065455	7647164.750452	1153.671294	1999.090386	18.675776
371055.061604	7647165.027954	1149.263453	2009.090386	18.675776
371065.057753	7647165.305456	1144.855612	2019.090386	18.675776
371075.053902	7647165.582958	1140.447771	2029.090386	18.675776
371085.050051	7647165.860461	1136.03993	2039.090386	18.675776
371095.046199	7647166.137963	1131.632089	2049.090386	18.675776
371105.042348	7647166.415465	1127.224248	2059.090386	18.675776
371115.038497	7647166.692967	1122.816407	2069.090386	18.675776
371125.035385	7647166.94151	1118.364406	2079.090363	18.675776
371135.032685	7647167.173867	1113.887722	2089.090363	18.675776
371145.029985	7647167.406224	1109.411039	2099.090363	18.675776
371155.027285	7647167.63858	1104.934355	2109.090363	18.675776
371165.024585	7647167.870937	1100.457672	2119.090363	18.675776
371175.021885	7647168.103294	1095.980989	2129.090363	18.675776
371185.019185	7647168.335651	1091.504305	2139.090363	18.675776
371195.016486	7647168.568007	1087.027622	2149.090363	18.675776
371205.004454	7647168.571805	1082.518601	2159.078331	18.675776
371214.904984	7647167.196007	1077.888241	2169.073997	18.675776
371224.752825	7647165.45818	1073.291075	2179.073997	18.675776
371234.616482	7647163.81816	1068.795175	2189.073067	18.675776
371244.510119	7647162.363532	1064.49122	2199.073067	18.675776
371254.403756	7647160.908904	1060.187264	2209.073067	18.675776
371264.297393	7647159.454276	1055.883309	2219.073067	18.675776
371274.19103	7647157.999648	1051.579354	2229.073067	18.675776
371284.084668	7647156.54502	1047.275399	2239.073067	18.675776
371293.978305	7647155.090392	1042.971444	2249.073067	18.675776
371303.850477	7647153.498881	1038.868577	2259.072701	18.675776
371313.714467	7647151.855197	1034.842356	2269.072701	18.675776
371323.578457	7647150.211513	1030.816135	2279.072701	18.675776
371333.442447	7647148.567829	1026.789913	2289.072701	18.675776
371343.306438	7647146.924145	1022.763692	2299.072701	18.675776
371353.170428	7647145.280461	1018.737471	2309.072701	18.675776
371363.034418	7647143.636777	1014.711249	2319.072701	18.675776
371372.820228	7647141.587086	1011.03862	2329.070866	18.675776
371382.589256	7647139.450247	1007.441888	2339.070866	18.675776
371392.375558	7647137.394768	1003.825802	2349.0707	18.675776
371402.170128	7647135.378237	1000.200452	2359.0707	18.675776
371411.964698	7647133.361706	996.575102	2369.0707	18.675776
371421.759299	7647131.345325	992.864467	2379.0707	18.675776
371431.553948	7647129.329181	989.020344	2389.0707	18.675776
371441.348598	7647127.313036	985.176222	2399.0707	18.675776
371451.143247	7647125.296891	981.332099	2409.0707	18.675776
371460.937897	7647123.280747	977.487976	2419.0707	18.675776
371470.732547	7647121.264602	973.643853	2429.0707	18.675776
371480.494336	7647119.098772	969.827723	2439.069868	18.675776
371490.232839	7647116.826864	966.03143	2449.069868	18.675776
371499.971342	7647114.554956	962.235137	2459.069868	18.675776
371509.709844	7647112.283049	958.438845	2469.069868	18.675776
