x	y	z	L	slope
369925.373907	7647207.748487	1577.738530	869.712772	13.089334
369935.101918	7647210.064904	1575.413490	879.712772	13.089334
369944.829930	7647212.381321	1573.088451	889.712772	13.089334
369954.557942	7647214.697738	1570.763411	899.712772	13.194158
369964.316460	7647216.872336	1568.400286	909.710649	13.505845
369974.136514	7647218.760866	1565.960335	919.710649	13.712373
369983.956567	7647220.649397	1563.520385	929.710649	13.863089
369993.732145	7647221.751739	1561.064752	939.548183	14.127398
370003.276548	7647218.767721	1558.527608	949.548183	14.236787
370012.820951	7647215.783702	1555.990464	959.548183	14.236787
370022.365354	7647212.799683	1553.453321	969.548183	14.236787
370031.909757	7647209.815664	1550.916177	979.548183	14.236787
370041.454161	7647206.831646	1548.379033	989.548183	14.333061
370051.024364	7647203.950149	1545.807488	999.542773	15.316882
370060.844295	7647202.060981	1542.902969	1009.542773	16.196519
370070.664226	7647200.171813	1539.998449	1019.542773	16.196519
370080.484157	7647198.282644	1537.093930	1029.542773	16.592321
370090.179102	7647195.858783	1534.041276	1039.536124	17.152486
370099.818943	7647193.199183	1530.923312	1049.536124	17.317804
370109.458784	7647190.539584	1527.805347	1059.536124	17.317804
370119.098625	7647187.879984	1524.687382	1069.536124	17.317804
370128.738465	7647185.220385	1521.569418	1079.536124	17.317804
370138.378306	7647182.560786	1518.451453	1089.536124	17.757065
370148.090491	7647180.180396	1515.164966	1099.535763	18.231689
370157.808952	7647177.824233	1511.863855	1109.535763	18.269165
370167.527414	7647175.468071	1508.562745	1119.535763	18.269165
370177.245876	7647173.111908	1505.261635	1129.535763	18.269165
370186.964337	7647170.755745	1501.960525	1139.535763	18.269165
370196.682799	7647168.399582	1498.659414	1149.535763	18.269165
370206.401261	7647166.043419	1495.358304	1159.535763	18.467337
370216.194158	7647164.239062	1491.994508	1169.493501	19.067603
370226.189562	7647163.935917	1488.460173	1179.493501	20.981035
370236.098719	7647164.320540	1484.357044	1189.410119	23.167277
370246.098719	7647164.320540	1479.937641	1199.410119	23.843271
370256.098719	7647164.320540	1475.518238	1209.410119	23.843271
370266.098719	7647164.320540	1471.098835	1219.410119	23.843271
370276.098719	7647164.320540	1466.679432	1229.410119	23.843271
370286.098719	7647164.320540	1462.260029	1239.410119	23.843271
370296.098719	7647164.320540	1457.840626	1249.410119	23.843271
370306.098719	7647164.320540	1453.421223	1259.410119	23.843271
370316.098719	7647164.320540	1449.001820	1269.410119	25.982821
370326.068073	7647163.584078	1443.676020	1279.406639	28.302359
370336.033502	7647162.753279	1438.234117	1289.406639	28.555448
370345.998931	7647161.922480	1432.792213	1299.406639	28.555448
370355.964360	7647161.091682	1427.350310	1309.406639	28.555448
370365.929789	7647160.260883	1421.908406	1319.406639	28.555448
370375.895218	7647159.430084	1416.466503	1329.406639	28.555448
370385.860647	7647158.599285	1411.024599	1339.406639	28.555448
370395.826076	7647157.768486	1405.582696	1349.406639	28.555448
370405.791505	7647156.937688	1400.140792	1359.406639	27.723655
370415.742574	7647155.950295	1395.072323	1369.406576	26.835255
370425.692908	7647154.954877	1390.022993	1379.406576	26.791508
370435.643242	7647153.959459	1384.973663	1389.406576	26.791508
370445.593576	7647152.964041	1379.924332	1399.406576	26.791508
370455.543910	7647151.968623	1374.875002	1409.406576	26.791508
370465.494243	7647150.973205	1369.825672	1419.406576	26.791508
370475.444577	7647149.977787	1364.776341	1429.406576	24.790677
370485.407738	7647149.134156	1360.589181	1439.405390	20.540023
370495.384020	7647148.445838	1357.283406	1449.405389	18.285991
370505.361840	7647147.780168	1353.980446	1459.405389	18.344694
370515.346360	7647147.315663	1350.653488	1469.400709	18.549548
370525.346360	7647147.315892	1347.271086	1479.400709	18.688156
370535.346360	7647147.316121	1343.888683	1489.400709	18.688156
370545.346360	7647147.316350	1340.506281	1499.400709	18.688156
370555.346360	7647147.316579	1337.123879	1509.400709	18.688156
370565.346360	7647147.316807	1333.741477	1519.400709	18.688156
370575.346360	7647147.317036	1330.359074	1529.400709	18.688156
370585.346360	7647147.317264	1326.961109	1539.400709	18.688156
370595.346360	7647147.317486	1323.420344	1549.400709	18.688156
370605.346360	7647147.317708	1319.879579	1559.400709	18.688156
370615.346360	7647147.317930	1316.338813	1569.400709	18.688156
370625.346360	7647147.318152	1312.798048	1579.400709	18.688156
370635.346360	7647147.318374	1309.257283	1589.400709	18.688156
370645.346360	7647147.318596	1305.716518	1599.400709	18.688156
370655.346360	7647147.318818	1302.175753	1609.400709	18.688156
370665.346360	7647147.318842	1298.487207	1619.400709	18.688156
370675.346360	7647147.318842	1294.781163	1629.400709	18.688156
370685.346360	7647147.318842	1291.075120	1639.400709	18.688156
370695.336121	7647147.001012	1287.390423	1649.395524	18.688156
370705.315385	7647146.357364	1283.727610	1659.395524	18.688156
370715.294650	7647145.713715	1280.064797	1669.395524	18.688156
370725.273914	7647145.070066	1276.401983	1679.395524	18.688156
370735.253178	7647144.426418	1272.739170	1689.395524	18.688156
370745.232443	7647143.782769	1269.076357	1699.395524	18.688156
370755.211707	7647143.139121	1265.413543	1709.395524	18.688156
370765.191320	7647142.500966	1261.786182	1719.395520	18.688156
370775.171854	7647141.877318	1258.252432	1729.395520	18.688156
370785.152389	7647141.253670	1254.718682	1739.395520	18.688156
370795.132923	7647140.630023	1251.184932	1749.395520	18.688156
370805.113457	7647140.006375	1247.651182	1759.395520	18.688156
370815.093991	7647139.382727	1244.117433	1769.395520	18.688156
370825.074525	7647138.759079	1240.583683	1779.395520	18.688156
370835.049614	7647139.363279	1237.327557	1789.388890	18.688156
370845.024223	7647140.075434	1234.095841	1799.388890	18.688156
370855.001697	7647140.743596	1230.857629	1809.388711	18.688156
370864.984454	7647141.330583	1227.607432	1819.388711	18.688156
370874.953013	7647142.037155	1224.305999	1829.382280	18.688156
370884.795680	7647143.804045	1220.550283	1839.382280	18.688156
370894.638347	7647145.570936	1216.794568	1849.382280	18.688156
370904.481015	7647147.337827	1213.038852	1859.382280	18.688156
370914.323682	7647149.104718	1209.283136	1869.382280	18.688156
370924.166349	7647150.871609	1205.527421	1879.382280	18.688156
370934.009016	7647152.638500	1201.771705	1889.382280	18.688156
370943.848921	7647154.420579	1197.863730	1899.382256	18.688156
370953.683387	7647156.232560	1193.656012	1909.382256	18.688156
370963.517853	7647158.044540	1189.448295	1919.382256	18.688156
370973.352320	7647159.856521	1185.240578	1929.382256	18.688156
370983.186786	7647161.668501	1181.032861	1939.382256	18.688156
370993.021252	7647163.480482	1176.825144	1949.382256	18.688156
371002.944508	7647164.320540	1172.464837	1959.341007	18.688156
371012.944508	7647164.320540	1167.972644	1969.341007	18.688156
371022.944508	7647164.320540	1163.480451	1979.341007	18.688156
371032.943214	7647164.413867	1159.016644	1989.340148	18.688156
371042.939368	7647164.691190	1154.608800	1999.340148	18.688156
371052.935522	7647164.968514	1150.200957	2009.340148	18.688156
371062.931676	7647165.245837	1145.793114	2019.340148	18.688156
371072.927829	7647165.523161	1141.385271	2029.340148	18.688156
371082.923983	7647165.800484	1136.977428	2039.340148	18.688156
371092.920137	7647166.077808	1132.569585	2049.340148	18.688156
371102.916291	7647166.355131	1128.161742	2059.340148	18.688156
371112.912445	7647166.632455	1123.753898	2069.340148	18.688156
371122.909092	7647166.890435	1119.316532	2079.340123	18.688156
371132.906395	7647167.122645	1114.839834	2089.340123	18.688156
371142.903699	7647167.354855	1110.363137	2099.340123	18.688156
371152.901002	7647167.587065	1105.886440	2109.340123	18.688156
371162.898306	7647167.819276	1101.409743	2119.340123	18.688156
371172.895609	7647168.051486	1096.933046	2129.340123	18.688156
371182.892913	7647168.283696	1092.456349	2139.340123	18.688156
371192.890217	7647168.515907	1087.979652	2149.340123	18.688156
371202.887520	7647168.748117	1083.502955	2159.340123	18.688156
371212.810463	7647167.562672	1078.865943	2169.333624	18.688156
371222.658290	7647165.824772	1074.268818	2179.333624	18.688156
371232.512272	7647164.124925	1069.711099	2189.333146	18.688156
371242.405872	7647162.670045	1065.407057	2199.333146	18.688156
371252.299472	7647161.215164	1061.103015	2209.333146	18.688156
371262.193072	7647159.760284	1056.798973	2219.333146	18.688156
371272.086672	7647158.305403	1052.494932	2229.333146	18.688156
371281.980272	7647156.850523	1048.190890	2239.333146	18.688156
371291.873872	7647155.395642	1043.886848	2249.333146	18.688156
371301.752310	7647153.844087	1039.724834	2259.332688	18.688156
371311.616256	7647152.200139	1035.698558	2269.332688	18.688156
371321.480202	7647150.556192	1031.672281	2279.332688	18.688156
371331.344148	7647148.912244	1027.646005	2289.332688	18.688156
371341.208095	7647147.268297	1023.619728	2299.332688	18.688156
371351.072041	7647145.624349	1019.593452	2309.332688	18.688156
371360.935987	7647143.980401	1015.567175	2319.332688	18.688156
371370.741906	7647142.035144	1011.803391	2329.329692	18.688156
371380.510895	7647139.898120	1008.206668	2339.329692	18.688156
371390.291741	7647137.816950	1004.596668	2349.329503	18.688156
371400.086312	7647135.800425	1000.971301	2359.329503	18.688156
371409.880884	7647133.783901	997.345934	2369.329503	18.688156
371419.675443	7647131.767319	993.682011	2379.329503	18.688156
371429.469948	7647129.750468	989.837838	2389.329503	18.688156
371439.264452	7647127.733618	985.993665	2399.329503	18.688156
371449.058956	7647125.716768	982.149491	2409.329503	18.688156
371458.853461	7647123.699918	978.305318	2419.329503	18.688156
371468.647965	7647121.683068	974.461145	2429.329503	18.688156
371478.421550	7647119.570959	970.634879	2439.328702	18.688156
371488.159882	7647117.298320	966.838792	2449.328702	18.688156
371497.898215	7647115.025682	963.042705	2459.328702	18.688156
371507.636547	7647112.753043	959.246618	2469.328702	18.688156
371517.439907	7647110.796315	955.679382	2479.325434	18.688156
371527.284115	7647109.038030	952.255902	2489.325434	18.688156
371537.128323	7647107.279746	948.832422	2499.325434	18.688156
371546.972531	7647105.521461	945.408942	2509.325434	18.688156
371556.816740	7647103.763177	941.985462	2519.325434	18.688156
371566.666587	7647102.037557	938.544665	2529.325297	18.688156
371576.530462	7647100.393179	935.060797	2539.325297	18.688156
371586.394337	7647098.748802	931.576929	2549.325297	18.688156
371596.258211	7647097.104425	928.093061	2559.325297	18.688156
371606.122086	7647095.460048	924.609192	2569.325297	18.688156
371615.985961	7647093.815671	921.125324	2579.325297	18.688156
371625.849836	7647092.171293	917.641456	2589.325297	18.688156
371635.713710	7647090.526916	914.157588	2599.325297	18.688156
371645.453124	7647088.284125	910.703008	2609.319610	18.688156
371655.179105	7647085.967942	907.267049	2619.317581	18.688156
371664.946238	7647083.839634	903.867388	2629.313908	18.688156
371674.617048	7647081.294947	900.479140	2639.313908	18.688156
371684.287858	7647078.750261	897.090893	2649.313908	18.688156
371693.958668	7647076.205574	893.702645	2659.313908	18.688156
371703.803702	7647074.612482	889.899512	2669.287004	18.688156
371713.748771	7647073.565770	885.858164	2679.287004	18.688156
371723.693840	7647072.519058	881.816816	2689.287004	18.688156
371733.638909	7647071.472345	877.775469	2699.287004	18.688156
371743.577497	7647070.372317	873.790357	2709.286284	18.688156
371753.483734	7647069.006130	870.085980	2719.286284	18.688156
371763.389971	7647067.639943	866.381604	2729.286284	18.688156
371773.296208	7647066.273756	862.677227	2739.286284	18.688156
371783.202445	7647064.907569	858.972851	2749.286284	18.688156
371793.108682	7647063.541382	855.268474	2759.286284	18.688156
371803.014919	7647062.175195	851.564098	2769.286284	18.688156
371812.921157	7647060.809008	847.859721	2779.286284	18.688156
371822.827397	7647059.442845	844.439755	2789.286284	18.688156
371832.731112	7647058.059027	841.152076	2799.286211	18.688156
371842.623184	7647056.593787	837.864582	2809.286211	18.688156
371852.529243	7647055.257643	834.596942	2819.281975	18.688156
371862.505573	7647054.570011	831.429042	2829.281975	18.688156
371872.481903	7647053.882379	828.261142	2839.281975	18.688156
371882.458233	7647053.194748	825.093241	2849.281975	18.688156
371892.434564	7647052.507116	821.925341	2859.281975	18.688156
371902.410894	7647051.819484	818.757441	2869.281975	18.688156
371912.387224	7647051.131852	815.589541	2879.281975	18.688156
371922.362196	7647050.425600	812.460820	2889.281918	18.688156
371932.332771	7647049.659022	809.459033	2899.281918	18.688156
371942.303346	7647048.892443	806.457247	2909.281918	18.688156
371952.273920	7647048.125865	803.455460	2919.281918	18.688156
371962.244495	7647047.359287	800.453673	2929.281918	18.688156
371972.215069	7647046.592708	797.451886	2939.281918	18.688156
371982.192723	7647046.010434	794.514574	2949.276548	18.688156
371992.192723	7647046.009900	791.780772	2959.276548	18.688156
372002.192723	7647046.009365	789.046970	2969.276548	18.688156
372012.192723	7647046.008855	786.313168	2979.276548	18.688156
372022.192723	7647046.008398	783.579366	2989.276548	18.688156
372032.192723	7647046.007940	780.845565	2999.276548	18.688156
372042.181335	7647045.711006	778.004573	3009.269572	18.688156
372052.151901	7647044.944324	774.993744	3019.269572	18.688156
372062.122468	7647044.177642	771.982916	3029.269572	18.688156
372072.093034	7647043.410959	768.972087	3039.269572	18.688156
372082.063601	7647042.644277	765.961259	3049.269572	18.688156
372092.034168	7647041.877595	762.950430	3059.269572	18.688156
372102.001545	7647041.071981	759.915351	3069.269454	18.688156
372111.963976	7647040.205969	756.842652	3079.269454	18.688156
372121.926407	7647039.339956	753.769953	3089.269454	18.688156
372131.888837	7647038.473944	750.697254	3099.269454	18.688156
372141.851268	7647037.607932	747.624555	3109.269454	18.688156
