X,Y,Run_out_5.0,X_run_out_5.0,Y_run_out_5.0,X_init_5.0,Y_init_5.0,Run_out_10.0,X_run_out_10.0,Y_run_out_10.0,X_init_10.0,Y_init_10.0,Run_out_15.0,X_run_out_15.0,Y_run_out_15.0,X_init_15.0,Y_init_15.0,Run_out_20.0,X_run_out_20.0,Y_run_out_20.0,X_init_20.0,Y_init_20.0,Run_out_25.0,X_run_out_25.0,Y_run_out_25.0,X_init_25.0,Y_init_25.0,Run_out_30.0,X_run_out_30.0,Y_run_out_30.0,X_init_30.0,Y_init_30.0
369000,7647036,5649.0,374590.9,7646998.23,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28
369000,7647086,5649.0,374590.9,7646998.23,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28,6928.0,375758.0,7646556.96,368981.59,7647075.28
369050,7647036,4409.0,373437.29,7647056.73,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28
369050,7647086,4409.0,373437.29,7647056.73,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28
369100,7647036,4409.0,373437.29,7647056.73,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28
369100,7647086,4409.0,373437.29,7647056.73,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28,6847.0,375756.56,7646557.32,369070.63,7647075.28
