x	y	z	L	slope
368981.587276	7647164.320540	1736.750000	0.000000	6.407950
368991.587276	7647164.320540	1735.626949	10.000000	6.407950
369001.587276	7647164.320540	1734.503897	20.000000	6.407950
369011.587276	7647164.320540	1733.380846	30.000000	6.407950
369021.587276	7647164.320540	1732.257795	40.000000	6.407950
369031.587276	7647164.320540	1731.134744	50.000000	6.407950
369041.587276	7647164.320540	1730.011692	60.000000	6.407950
369051.587276	7647164.320540	1728.888641	70.000000	6.407950
369061.587276	7647164.320540	1727.765590	80.000000	6.461149
369071.587276	7647164.320540	1726.623733	90.000000	7.016437
369081.587276	7647164.320540	1725.304147	100.000000	7.517456
369091.587276	7647164.320540	1723.984562	110.000000	7.517456
369101.587276	7647164.320540	1722.664977	120.000000	7.517456
369111.587276	7647164.320540	1721.345392	130.000000	7.517456
369121.587276	7647164.320540	1720.025806	140.000000	7.517456
369131.587276	7647164.320540	1718.706221	150.000000	7.517456
369141.587276	7647164.320540	1717.386636	160.000000	7.517456
369151.587276	7647164.320540	1716.067051	170.000000	7.472062
369161.587276	7647164.320540	1714.763585	180.000000	7.234710
369171.587276	7647164.320540	1713.528228	190.000000	7.042598
369181.587276	7647164.320540	1712.292872	200.000000	7.042598
369191.587276	7647164.320540	1711.057515	210.000000	7.042598
369201.587276	7647164.320540	1709.822159	220.000000	7.042598
369211.587276	7647164.320540	1708.586803	230.000000	7.042598
369221.587276	7647164.320540	1707.351446	240.000000	7.042598
369231.587276	7647164.320540	1706.116090	250.000000	7.042598
369241.587276	7647164.320540	1704.880733	260.000000	6.982438
369251.414369	7647165.301764	1703.681885	269.875959	6.620953
369260.812036	7647168.719931	1702.573709	279.875959	6.323768
369270.209702	7647172.138099	1701.465533	289.875959	6.323768
369279.607368	7647175.556267	1700.357356	299.875959	6.323768
369289.005034	7647178.974434	1699.249180	309.875959	6.323768
369298.402701	7647182.392602	1698.141003	319.875959	6.323768
369307.800367	7647185.810769	1697.032827	329.875959	6.323768
369317.198033	7647189.228937	1695.924651	339.875959	6.323768
369326.595699	7647192.647104	1694.816474	349.875959	6.323768
369335.993365	7647196.065272	1693.708298	359.875959	6.587961
369345.664227	7647198.567900	1692.507943	369.865388	6.908844
369355.398325	7647200.858605	1691.286252	379.865388	6.965464
369365.132423	7647203.149310	1690.064561	389.865388	6.965464
369374.866522	7647205.440015	1688.842870	399.865388	7.168839
369384.627329	7647207.500763	1687.552120	409.841362	9.101126
369394.627329	7647207.502171	1685.642931	419.841362	10.809096
369404.627329	7647207.503579	1683.733741	429.841362	10.809096
369414.627329	7647207.504988	1681.824551	439.841362	10.809096
369424.627329	7647207.506396	1679.915362	449.841362	10.809081
369434.627329	7647207.507598	1678.006177	459.841362	10.809062
369444.627329	7647207.508743	1676.096995	469.841362	10.809058
369454.627329	7647207.509887	1674.187812	479.841362	10.809058
369464.627329	7647207.511032	1672.278629	489.841362	10.788192
369474.619330	7647207.239516	1670.377816	499.837052	10.738235
369484.602067	7647206.652183	1668.486697	509.837052	10.709162
369494.584804	7647206.064849	1666.595578	519.837052	10.709162
