,Effusion Rate,Median X,Median Y,25th Percentile X,25th Percentile Y,75th Percentile X,75th Percentile Y,Average X,Average Y,+2sigma X,+2sigma Y,-2sigma X,-2sigma Y
0,5,373437.29,7647030.755844,374291.61430022964,7647030.755844,373437.29,7647030.755844,373812.8915920929,7647119.798974,372683.09221716574,7647030.755844,374852.81231052283,7646813.769572915
1,10,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193
2,15,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193
3,20,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193
4,25,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193
5,30,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193,375259.127951,7646585.540193
