flow_id;X;Y
369000_7647036;369000.0;7647036.0
369000_7647086;369000.0;7647086.0
369000_7647136;369000.0;7647136.0
369050_7647036;369050.0;7647036.0
369050_7647086;369050.0;7647086.0
369050_7647136;369050.0;7647136.0
369100_7647036;369100.0;7647036.0
369100_7647086;369100.0;7647086.0
369100_7647136;369100.0;7647136.0
