position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,876.8166538340167,0.95,15.087371909444123,127350.84047274222,27604.3130110306,831.4654671930725,0,0,18793.278558289177,173748.432042062,4.0,0.104,1387.15,7.488588287038624,0.3,376.93722536761,2079.0,2.5011884878708983,773.15,0.8830534497953131,2.3819038502259744e-05,-0.004014444691392092,0.005933333333333333,0.6024529708382604,0.13947411254218742,10.024763459386552,1.0019999999999991,10.271028956630577,2838.134167013347
10.0,876.7788198532992,0.95,15.1054606252648,127570.62472151103,27654.91791588201,831.4440928897209,0,0,18828.214309390267,174053.7569467833,4.007594922191645,0.10423819038502259,1387.1098555530862,7.47439642222455,0.3,377.63944728680644,2079.0,2.4964484050229974,773.15,0.8830852620418067,2.3860895257890755e-05,-0.004021499200768105,0.005933333333333333,0.6023679159335277,0.13947411254218742,10.024763459386552,1.0019999999999991,10.338201272372206,2838.134167013347
20.0,876.7409596873738,0.95,15.123617941406273,127791.28610607317,27705.723736467182,831.4227078725809,0,0,18863.290477616585,174360.30032015694,4.015220416519551,0.1044767993376015,1387.0696405610786,7.46020144371535,0.3,378.34441775514506,2079.0,2.4917072822009247,773.15,0.8831170824143293,2.3902919052449266e-05,-0.004028581862772348,0.005933333333333333,0.6022828058647456,0.13947411254218742,10.024763459386552,1.0019999999999991,10.405776930069282,2838.134167013347
30.0,876.7030732394308,0.95,15.141844268021762,128012.83006661409,27756.731715735725,831.4013120995038,0,0,18898.507937750455,174668.06972010026,4.022876673610691,0.10471582852812598,1387.0293547424508,7.446003340010243,0.3,379.0521534511169,2079.0,2.486965115563419,773.15,0.8831489109394591,2.394511092204434e-05,-0.004035692852029945,0.005933333333333333,0.602197640407627,0.13947411254218742,10.024763459386552,1.0019999999999991,10.473758465557284,2838.134167013347
40.0,876.6651604120877,0.95,15.160140018625519,128235.26208911931,27807.94310708425,831.3799055280954,0,0,18933.867571962455,174977.072768166,4.03056388570304,0.10495527963734642,1386.9889978139304,7.431802099554029,0.3,379.76267119088203,2079.0,2.4822219012510436,773.15,0.8831807476439001,2.3987471911508757e-05,-0.004042832344636308,0.005933333333333333,0.602112419336541,0.13947411254218742,10.024763459386552,1.0019999999999991,10.542148434007768,2838.134167013347
50.0,876.6272211073833,0.95,15.178505610128191,128458.58770586252,27859.35917446782,831.3584881157122,0,0,18969.37026989037,175287.3171502207,4.038282246662819,0.10519515435646151,1386.948569490484,7.41759771073663,0.3,380.4759879297126,2079.0,2.477477635386032,773.15,0.8832125925544834,2.4030003074492045e-05,-0.004050000518172817,0.005933333333333333,0.6020271424244997,0.13947411254218742,10.024763459386552,1.0019999999999991,10.610949410113692,2838.134167013347
60.0,876.5892552267732,0.95,15.196941462872228,128682.81249590026,27910.98119251247,831.3370598194609,0,0,19005.016928719204,175598.81061713194,4.046031952001931,0.10543545438720643,1386.9080694853023,7.403390161892673,0.3,381.1921207634527,2079.0,2.4727323140721507,773.15,0.8832444456981678,2.4072705473554645e-05,-0.004057197551722693,0.005933333333333333,0.6019418094431471,0.13947411254218742,10.024763459386552,1.0019999999999991,10.68016398827694,2838.134167013347
70.0,876.5512626711251,0.95,15.215448000667868,128907.94208557197,27962.810446629184,831.3156205961953,0,0,19040.808453261994,175911.56098546315,4.053813198895603,0.10567618144194198,1386.8674975097852,7.389179441301116,0.3,381.91108692999484,2079.0,2.4679859333945706,773.15,0.8832763071020414,2.4115580180263213e-05,-0.0040644236258870585,0.005933333333333333,0.601856420162749,0.13947411254218742,10.024763459386552,1.0019999999999991,10.749794782798029,2838.134167013347
80.0,876.4416284879048,0.95,15.308529799711234,129827.06995980066,28174.416254477903,831.2470494894294,0,0,19183.723888741435,177185.21010301998,4.084760548685342,0.10591733724374461,1386.8268532735262,7.333196840092657,0.3,382.63290381077275,2079.0,2.4492877445909453,773.15,0.8834018350913705,2.4290183755172658e-05,-0.004093851194692021,0.005933333333333333,0.6016211735602901,0.13868361801737417,10.024763459386552,1.0019999999999991,10.819844428068029,2822.1520882634973
90.0,875.6535928943771,0.95,16.162870495394685,137832.2060689218,30017.468120957208,830.7328048520436,0,0,20420.47205963973,188270.14624951873,4.3522587515954525,0.10616023908129633,1386.7859147615793,6.8824844426296625,0.3,383.36153953094623,2079.0,2.298749803838305,773.15,0.8844131032187541,2.5809809099501668e-05,-0.0043499678257587085,0.005933333333333333,0.5999692611699462,0.13041208381315256,10.024763459386552,1.0019999999999991,10.890700141810068,2654.815790300482
